Station,Avg_Weekend_AQI,Avg_Weekday_AQI,AQI_Difference,Weekend_Count,Weekday_Count
Hà Nội: 556 Nguyễn Văn Cừ (KK),73.35657370517929,80.46273062730627,-7.106156922126985,503,1356
HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),38.773936170212764,39.135330578512395,-0.3613944082996312,376,972
Long An: UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),39.90417690417691,43.77148080438757,-3.867303900210665,407,1094
Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK),60.506024096385545,68.46407185628742,-7.9580477599018735,498,1344
Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),56.8804780876494,63.81369661266569,-6.9332185250162865,502,1358
Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),46.39243027888446,52.93338213762811,-6.540951858743647,502,1366
Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),72.23414634146341,82.3721657544957,-10.138019413032282,419,1320
Phú Thọ: đường Hùng Vương - Tp Việt Trì (KK),47.3109756097561,48.963235294117645,-1.652259684361546,492,1224
Bắc Giang: Khu liên cơ quan tỉnh Bắc Giang - P. Ngô Quyền - TP. Bắc Giang (KK),57.85207100591716,67.08185840707965,-9.22978740116249,498,1357
Hà Nam: Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),61.28343313373254,64.78655834564255,-3.5031252119100103,501,1354
"Bình Dương: số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",38.01754385964912,41.57808219178082,-3.5605383321316992,399,1095
HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),36.753026634382564,38.84778597785978,-2.0947593434772145,413,1084
