Hour,mean,std,min,max,count,exceedance_rate
0,38.43968871595331,12.874896112308,14.0,84.0,257,0.0
1,38.56934306569343,13.048119239341455,13.0,82.0,274,0.0
2,38.816326530612244,13.707233745074937,11.0,80.0,245,0.0
3,39.46641791044776,14.591657582869333,12.0,101.0,268,0.3731343283582089
4,40.2,15.408667269657906,15.0,102.0,260,0.38461538461538464
5,40.02651515151515,15.2735281809681,13.0,103.0,264,0.3787878787878788
6,41.757462686567166,16.513441928454686,14.0,104.0,268,0.3731343283582089
7,43.7196261682243,15.262974309242336,14.0,94.0,107,0.0
8,46.56024096385542,19.213142217788796,17.0,117.0,166,2.4096385542168677
9,47.54347826086956,16.85974009646653,16.0,97.0,92,0.0
10,46.517699115044245,18.25552326813752,13.0,122.0,226,1.7699115044247788
11,45.32462686567164,15.84885981823777,14.0,109.0,268,0.7462686567164178
12,43.85328185328186,15.658470317245701,16.0,101.0,259,0.3861003861003861
13,41.26315789473684,14.432350839166377,12.0,103.0,266,0.7518796992481203
14,39.640151515151516,14.913542266770003,12.0,104.0,264,0.3787878787878788
15,39.3811320754717,16.46696712480195,12.0,118.0,265,1.8867924528301887
16,37.883720930232556,13.900215773583062,14.0,94.0,258,0.0
17,38.24418604651163,14.331757921921765,11.0,101.0,258,0.3875968992248062
18,38.26890756302521,12.91138082931835,10.0,93.0,238,0.0
19,37.14705882352941,11.876380113557042,9.0,101.0,272,0.3676470588235294
20,37.20220588235294,11.564655192813735,10.0,83.0,272,0.0
21,37.71153846153846,11.998289032563758,12.0,86.0,260,0.0
22,38.070038910505836,13.364005308630531,14.0,97.0,257,0.0
23,38.95220588235294,13.290173196885451,15.0,88.0,272,0.0
