,AQI,PM2.5,PM10,CO,NO2,O3,SO2,Temperature,Humidity,Pressure,Wind Speed
AQI,1.0,0.8795263374445612,0.9152198143707435,0.31101494445826505,0.2641893448343148,0.42110908819296816,,-0.016239622627443214,0.04838564243646279,-0.010475717553985577,-0.11307444968617492
PM2.5,0.8795263374445612,1.0,0.926017057090387,0.08245211870203684,0.20517377751792432,-0.07847129839640059,,0.07357942625605765,-0.017825774291265306,0.05026988489398955,-0.13580159276668755
PM10,0.9152198143707435,0.926017057090387,1.0,-0.000633334897273784,0.13575949588501784,0.01889897851406288,,0.14782401769771025,-0.22731357959433862,-0.05610894474254963,-0.1826820085907962
CO,0.31101494445826505,0.08245211870203684,-0.000633334897273784,1.0,0.2659953550614991,-0.1669593474232831,,-0.23069844107446327,0.28025340411044003,-0.09284745411309356,0.049361451561627676
NO2,0.2641893448343148,0.20517377751792432,0.13575949588501784,0.2659953550614991,1.0,-0.11933801292742435,,-0.013694754614228618,0.09403701942421729,0.027984554898851634,-0.28960279357440455
O3,0.42110908819296816,-0.07847129839640059,0.01889897851406288,-0.1669593474232831,-0.11933801292742435,1.0,,0.512622294769751,-0.42127463372756274,-0.5846762560065644,0.029471064042037934
SO2,,,,,,,,,,,
Temperature,-0.016239622627443214,0.07357942625605765,0.14782401769771025,-0.23069844107446327,-0.013694754614228618,0.512622294769751,,1.0,-0.9070020267944074,-0.15525666697744192,0.2521814140695664
Humidity,0.04838564243646279,-0.017825774291265306,-0.22731357959433862,0.28025340411044003,0.09403701942421729,-0.42127463372756274,,-0.9070020267944074,1.0,0.08860854400869646,-0.25033844904708014
Pressure,-0.010475717553985577,0.05026988489398955,-0.05610894474254963,-0.09284745411309356,0.027984554898851634,-0.5846762560065644,,-0.15525666697744192,0.08860854400869646,1.0,-0.2316044218965261
Wind Speed,-0.11307444968617492,-0.13580159276668755,-0.1826820085907962,0.049361451561627676,-0.28960279357440455,0.029471064042037934,,0.2521814140695664,-0.25033844904708014,-0.2316044218965261,1.0
